numero,codiceQuiz,testo
3,183,Cosa è la poesia concreta?
1,184,Cosa è la 'metafiction'?
2,184,Chi scrisse 'La ricerca del tempo perduto'?
3,184,Cosa è il 'postmodernismo' in letteratura?
1,185,Chi ha scritto 'Il nome della rosa'?
1,186,Cosa è il fumetto 'underground' (comix)?
1,187,Chi ha creato Corto Maltese?
1,188,Cosa è un 'achievement' (trofeo) in un videogioco?
2,188,Quale genere di gioco è caratterizzato dall'esplorazione e dall'accumulo di risorse?
3,188,Quale titolo è considerato il primo videogioco commerciale della storia?
1,189,Quale paese è considerato la culla della cucina gastronomica occidentale?
2,189,Cosa è la fermentazione nella cucina internazionale?
3,189,Quale spezia è la più costosa al mondo?
1,190,Cosa è un vino 'tannico'?
2,190,Cosa è la 'denominazione di origine controllata e garantita' (DOCG)?
3,190,Quale vitigno è usato per produrre il Brunello di Montalcino?
4,190,Cosa è il millesimo di un vino?
1,191,Quale vino rosso toscano è considerato il più pregiato d'Italia?
2,191,Cosa è il Primitivo di Manduria?
3,191,Da quale vitigno si produce il Barolo?
4,191,Cosa è il Prosecco?
1,192,Cosa differenzia un cappuccino da un latte macchiato?
2,192,Cosa è il caffè 'specialty'?
3,192,Qual è la temperatura ideale dell'acqua per estrarre un espresso?
1,193,Cosa è il decantatore?
2,193,A quale temperatura si serve generalmente un vino rosso strutturato?
3,193,Cosa sono i 'bouquet' nel vino?
1,194,Cosa è il curling?
2,194,Cosa è la discesa libera nello sci alpino?
3,194,Chi è Lindsey Vonn?
4,194,In quale anno lo sci alpino fu introdotto ai Giochi Olimpici Invernali?
1,195,Cosa è il triathlon olimpico?
2,195,Cosa è la Coppa America nella vela?
1,196,Chi detiene il record mondiale nei 100 metri maschili?
2,196,Come si misura il lancio del giavellotto?
3,196,Cosa è il decathlon?
1,197,Quale squadra di club ha vinto più UEFA Champions League?
2,197,Chi è considerato il più grande calciatore di tutti i tempi da molti esperti?
3,197,In quale anno l'Italia vinse il suo quarto Campionato del Mondo?
1,198,Quanti secondi ha una squadra per tirare nel basket NBA?
2,198,Quanti punti vale un canestro da oltre l'arco dei tre punti?
3,198,Cosa è il 'doppio passo' nel basket?
4,198,Chi è Michael Jordan?
1,199,Cosa è il 'tie-break' nel tennis?
2,199,Chi è la tennista con più titoli del Grande Slam nella storia femminile?
3,199,Quale tennista è soprannominato 'Re della Terra'?
4,199,Cosa è un 'ace' nel tennis?
1,200,Cosa è la DRS in Formula 1?
2,200,Dove si svolge il Gran Premio d'Italia di Formula 1?
3,200,Quale circuito ospita il Gran Premio di Monaco?
4,200,Chi è Ayrton Senna?
1,201,Da quanti poli è composta la griglia di partenza di un GP di Moto GP?
2,201,Cosa è il 'long lap penalty' in Moto GP?
1,202,Cosa è la Granfondo nel ciclismo?
2,202,Cosa rappresenta la 'maglia gialla' al Tour de France?
3,202,Chi ha vinto più Tour de France nella storia?
4,202,Cosa è lo 'strappo' nel ciclismo?
1,203,Cosa è la FIDE?
2,203,Cosa è lo scacco matto?
3,203,Cosa è l'Arrocco negli scacchi?
1,204,Cosa è il 'tressette' nel gioco italiano?
2,204,Cosa è la 'scala reale' nel poker?
3,204,Quante carte ha un mazzo standard?
4,204,Cosa è il 'bridge' come gioco di carte?
1,205,Cosa è la 'pot odds' nel poker?
2,205,Cosa è il 'Texas Hold'em'?
3,205,Cosa è il 'bluff' nel poker?
1,206,Cosa è la 'punta' nella danza classica?
2,206,Chi è Rudolf Nureyev?
3,206,Quale balletto di Tchaikovsky racconta la storia di una principessa trasformata in cigno?
1,207,Quale drammaturgo norvegese scrisse 'Casa di bambola'?
2,207,Cosa è il 'quarto muro' nel teatro?
1,208,Chi è Philippe Petit?
2,208,Cosa è il 'nouveau cirque'?
1,209,Chi guidò la spedizione dei Diecimila descritta nella Anabasi?
2,209,Quale battaglia del 490 a.C. vide i Greci sconfiggere i Persiani?
3,209,Quale città-stato greca era nota per il suo sistema militare e l'addestramento spartano?
1,210,Cosa sono gli isomeri?
2,210,Quale gruppo funzionale caratterizza un alcol?
3,210,Qual è la formula molecolare del metano?
1,211,Quale legge afferma che F = ma?
2,211,Cosa misura la quantità di moto?
3,211,Un corpo in moto rettilineo uniforme ha accelerazione pari a?
1,212,Chi scrisse 'La coscienza di Zeno'?
2,212,Chi vinse il Premio Nobel per la Letteratura nel 1997?
1,213,Cosa calcola il tasso di interesse semplice?
2,213,Cosa si intende per 'ammortamento' di un debito?
3,213,Cosa misura la duration di un'obbligazione?
1,214,Cosa contiene il nucleo cellulare?
2,214,Quale organello cellulare è responsabile della produzione di energia (ATP)?
3,214,La membrana plasmatica è composta principalmente da?
1,215,Quale paese europeo ha la superficie maggiore?
2,215,Qual è la capitale della Polonia?
1,216,Quante galassie si stima contenga l'universo osservabile?
2,216,Cosa è una nebulosa?
3,216,Quale teoria descrive l'origine dell'universo?
4,216,Quale pianeta del sistema solare è il più grande?
5,216,Quale pianeta è noto per i suoi anelli?
1,217,Il romeno appartiene alle lingue neolatine?
2,217,Quale documento italiano è considerato la prima attestazione scritta in volgare?
3,217,Quali lingue derivano dal Latino volgare?
1,218,Quale tecnica artistica era comune nell'arte bizantina?
2,218,La Cattedrale di Notre-Dame di Parigi è un esempio di quale stile?
3,218,Quale tecnica pittorica era la più comune nell'arte medievale?
1,219,Chi diresse 'Ladri di biciclette'?
2,219,Chi diresse 'La dolce vita' del 1960?
3,219,A quale movimento cinematografico appartiene la Nouvelle Vague?
1,220,Quale pesce è protagonista della 'brodetto' marchigiana?
2,220,La 'bagna cauda' è un piatto tipico di quale regione?
1,221,Quale sistema operativo è sviluppato da Apple per i Mac?
2,221,Cosa significa CPU?
3,221,Quale linguaggio di markup viene usato per creare pagine web?
1,222,Cos'è il bicameralismo perfetto vigente in Italia?
2,222,Il diritto di voto in Italia spetta ai cittadini che abbiano compiuto?
1,223,Quale tipo di costo non varia al variare della produzione?
2,223,La leva finanziaria misura?
3,223,Cosa misura il ROE (Return on Equity)?
1,224,Quale opera di Puccini si svolge in Giappone?
2,224,Chi compose 'Le quattro stagioni'?
3,224,Cosa è il bel canto?
4,224,Quale compositore romantico è noto per i suoi notturni per pianoforte?
5,224,Chi è l'autore del 'Clavicembalo ben temperato'?
1,225,Chi è il fondatore del pensiero filosofico occidentale spesso indicato come il primo filosofo?
2,225,Cosa significa il termine 'catarsi' nella filosofia di Aristotele?
3,225,Quale concetto filosofico di Platone descrive il mondo delle idee perfette?
4,225,Quale filosofo affermò che 'panta rei' (tutto scorre)?
1,226,Qual è l'osso più lungo del corpo umano?
2,226,Quale organo produce l'insulina?
3,226,Quante vertebre ha la colonna vertebrale umana?
4,226,Il cuore umano ha quante camere?
1,227,Cosa si intende per biodiversità?
2,227,Cosa misura l'impronta ecologica?
3,227,Quale accordo internazionale mira a ridurre le emissioni di gas serra?
1,228,Quale sport prevede la gara di 'sincronizzato' in piscina?
2,228,Cosa sono i Giochi Paralimpici?
1,229,Cosa è il pensiero critico?
2,229,Cosa si intende per 'bias cognitivo'?
3,229,Il modello di elaborazione dell'informazione paragona la mente a?
1,230,Cosa sono le 'megalopoli'?
2,230,Cosa misura l'Indice di Gini nel contesto urbano?
1,231,Chi affrescò la Cappella Sistina?
2,231,Quale famiglia fiorentina fu la principale mecenate del Rinascimento?
1,232,Chi scrisse 'La ballata del vecchio marinaio'?
2,232,Chi scrisse 'Orgoglio e pregiudizio'?
1,233,Quale struttura dati implementa il principio LIFO?
2,233,Cosa è un grafo in matematica discreta?
3,233,Cosa studia la matematica discreta?
1,234,Cosa è un router?
2,234,Cosa è il DNS?
3,234,Cosa è un indirizzo MAC?
4,234,Su quale livello del modello OSI opera il protocollo TCP?
1,235,Cosa è una tabella hash?
1,236,Cosa significa SEO?
2,236,Cosa è un KPI nel marketing digitale?
3,236,Cosa è il social media marketing?
1,237,Cosa è il management per obiettivi (MBO)?
2,237,Cosa è il business plan?
3,237,Cosa si intende per 'outsourcing'?
1,238,Chi è il fondatore del Cubismo insieme a Braque?
1,239,Cosa è la sovrapposizione quantistica?
2,239,Cosa è l'entanglement quantistico?
3,239,Chi formulò il principio di indeterminazione?
4,239,Cosa afferma la dualità onda-corpuscolo?
5,239,Cosa è il gatto di Schrödinger?
1,240,Cosa è l'elettronegatività di un elemento?
2,240,Quale metallo è liquido a temperatura ambiente?
3,240,Quanti elementi sono presenti nella tavola periodica moderna?
1,241,Quale pesce è noto per poter cambiare sesso nel corso della vita?
2,241,Cosa sono i cefalopodi?
3,241,Quale è il mammifero più grande degli oceani?
1,242,Quale vulcano è il più alto d'Europa?
2,242,Cosa è il punto epicentro di un terremoto?
3,242,Cosa è la tettonica delle placche?
4,242,Cosa è la lava?
1,243,Come si chiama il vento caldo e secco che soffia dal Sahara verso il Mediterraneo?
2,243,Cosa è un ciclone?
3,243,Cosa è l'effetto Coriolis?
1,244,Cosa è un calco linguistico?
2,244,Cosa è la sintassi?
3,244,Cosa è un morfema?
1,245,Cosa è la crittografia simmetrica?
2,245,Qual è la base del sistema binario?
3,245,Cosa è la funzione hash in crittografia?
1,246,Chi era Ulisse (Odisseo) nella mitologia greca?
2,246,Chi era il re degli dèi nell'Olimpo greco?
3,246,Cosa è il tallone d'Achille?
1,247,Cosa è la Peste Nera?
2,247,Quando terminò il Medioevo secondo la tradizione storiografica?
3,247,Quando convenzionalmente inizia il Medioevo?
1,248,Chi è il fondatore del Buddhismo?
2,248,Qual è la scrittura tradizionale del Giappone?
3,248,Quale città è la capitale della Cina?
4,248,Quale paese asiatico è noto per la produzione di Kimono?
1,249,Chi scrisse 'Delitto e Castigo'?
2,249,Quale premio Nobel per la Letteratura fu assegnato a Boris Pasternak (e da lui rifiutato)?
3,249,Cosa è lo stile del 'realismo critico' nella letteratura russa del XIX secolo?
4,249,Quale romanzo di Tolstoj è ambientato durante le guerre napoleoniche?
1,250,Cosa misurano i BRICS?
2,250,Cosa è il tasso di cambio?
1,251,Cosa distingue i mammiferi dagli altri vertebrati?
2,251,A quale ordine appartengono i pipistrelli?
1,252,Come si chiama la cellula riproduttiva delle piante?
2,252,Qual è la funzione principale della clorofilla nelle piante?
1,253,Cosa è un effetto collaterale di un farmaco?
2,253,Cosa è la biodisponibilità di un farmaco?
3,253,Cosa è la farmacocinetica?
1,254,Cosa è la Convenzione di Ginevra?
2,254,Cosa è la sovranità statale?
3,254,Cosa è il diritto consuetudinario internazionale?
4,254,Cosa è la Corte Penale Internazionale (CPI)?
1,255,Quale invenzione di Gutenberg (1450 circa) rivoluzionò la diffusione del sapere?
2,255,Quando fu inventato il World Wide Web?
3,255,Quale tecnologia rese possibile la Rivoluzione Industriale del XVIII-XIX secolo?
4,255,Chi è considerato il padre dell'informatica moderna?
5,255,Chi inventò il telefono nel 1876?
1,256,Cosa è un robot collaborativo (cobot)?
2,256,Chi coniò il termine 'robot' nel 1920?
1,257,Cosa è il test di Turing?
2,257,Cosa è il reinforcement learning?
3,257,Cosa è l'apprendimento automatico (machine learning)?
1,258,Cosa è la cross-validation?
2,258,Cosa è un albero decisionale?
3,258,Cosa è la classificazione nel machine learning?
1,259,Cosa è la media aritmetica?
2,259,Cosa misura la deviazione standard?
1,260,Come si calcola l'integrale di x^n (con n ≠ -1)?
2,260,Quale metodo numerico approssima un integrale dividendo l'intervallo in trapezi?
3,260,Cosa afferma il Teorema Fondamentale del Calcolo?
4,260,Cosa calcola l'integrale definito di una funzione positiva?
1,261,Cosa è un omeomorfismo in topologia?
2,261,Cosa è uno spazio metrico?
1,262,Cosa è la strategia mista?
2,262,Cosa è un gioco a somma zero?
1,263,Chi scrisse la 'Critica della Ragion Pura'?
2,263,Chi è il fondatore del pragmatismo americano?
3,263,Chi scrisse 'Così parlò Zarathustra'?
4,263,Cosa è il nichilismo in filosofia?
5,263,Cosa è l'idealismo tedesco?
1,264,Cosa sono i 'paradigmi scientifici' secondo Thomas Kuhn?
2,264,Cosa è il realismo epistemologico?
3,264,Cosa è il problema dell'induzione di Hume?
1,265,Cosa è l'imperativo categorico di Kant?
2,265,Cosa è il principio di giustizia di Rawls?
1,266,Quale testo è sacro per l'Ebraismo?
1,267,Quale civiltà costruì la città di Troia?
2,267,Quale città antica fu sepolta dall'eruzione del Vesuvio nel 79 d.C.?
3,267,Cosa è un'anfora nell'antichità classica?
4,267,Dove si trova la celebre statua greca del Discobolo?
5,267,Cosa è lo stile corinzio nell'architettura greca?
1,268,Cosa è una moneta 'ex-voto'?
2,268,Cosa è il dritto di una moneta?
3,268,Cosa è la zecca?
1,269,Quale testo italiano del XIII secolo rappresenta la prima grande opera in volgare?
2,269,Cosa sono i trovatori nella letteratura medievale?
3,269,Quale è il più antico testo in lingua d'oïl francese?
1,270,In quale data convenzionale si colloca la fondazione di Roma?
2,270,Chi era Giulio Cesare?
3,270,Quale imperatore romano costruì il famoso muro in Britannia?
4,270,Quando cadde l'Impero Romano d'Occidente?
1,271,In quale anno scoppiò la Prima Guerra Mondiale?
2,271,Cosa è la guerra di trincea?
3,271,Quale paese entrò in guerra nel 1917 modificando l'equilibrio delle forze?
1,272,Cosa è l'Olocausto?
2,272,Cosa è la Resistenza italiana?
1,273,Cosa si intende per 'stato fallito'?
2,273,Cosa è il concetto di 'soft power'?
1,274,Cosa è il 'balance of power'?
1,275,Quale imperatore cinese unificò la Cina e costruì la Grande Muraglia?
2,275,Chi fu il fondatore dell'Impero Mongolo?
3,275,Cosa è la Via della Seta?
4,275,Quale guerra del XX secolo si combatté tra Nord e Sud Corea?
1,276,Chi fu il primo presidente della Namibia post-indipendenza?
1,277,Cosa è il 'blues'?
2,277,Cosa è l'improvvisazione nel jazz?
3,277,Quale strumento è più associato a Thelonious Monk?
4,277,Chi è considerato il padre del jazz moderno (Bebop)?
5,277,Chi è Miles Davis?
1,278,Quale voce maschile è la più alta nell'opera lirica?
2,278,Cosa è il libretto in un'opera lirica?
3,278,Quale opera di Puccini si svolge nella Parigi bohémienne?
4,278,Cosa è l'aria nell'opera lirica?
1,279,Chi è considerato il 'Re del Rock and Roll'?
2,279,Cosa è il 'grunge'?
1,280,Dove si tenne la prima mostra impressionista nel 1874?
2,280,"Chi dipinse 'Impressione, levar del sole' che diede nome al movimento?"
1,281,Con quale materiale lavoravano principalmente gli scultori greci classici?
2,281,Cosa è il contrapposto nella scultura classica?
3,281,Quale stile scultoreo romano è caratterizzato da ritratti realistici dei defunti?
1,282,Chi progettò il Guggenheim Museum di Bilbao?
2,282,Cosa è il Bauhaus?
1,283,Chi è Raymond Loewy?
2,283,Chi è Dieter Rams?
3,283,Cosa è il prototipo nel processo di design industriale?
1,284,Cosa è la fotografia in bianco e nero a colori?
2,284,Cosa è la regola dei terzi nella composizione fotografica?
3,284,Chi è Henri Cartier-Bresson?
1,285,Cosa è il cinema verité?
2,285,Quale paese è noto per il 'cinema d'autore' europeo degli anni '60?
3,285,Cosa è il montaggio nel cinema?
4,285,Chi è Alfred Hitchcock?
1,286,Chi scrisse 'Cent'anni di solitudine'?
2,286,Quale scrittore messicano è noto per il romanzo 'Pedro Páramo'?
3,286,Quale poesia è associata a Pablo Neruda?
1,287,Chi è Pablo Neruda?
2,287,Chi scrisse 'Il Prufrock di J. Alfred' e vinse il Nobel nel 1948?
1,288,Chi è Franz Kafka?
2,288,Cosa è il 'postmodernismo' in letteratura?
3,288,Cosa è la 'metafiction'?
1,289,Chi è Donna Tartt?
2,289,Cosa è il 'digital novel'?
3,289,Chi ha scritto 'Se una notte d'inverno un viaggiatore'?
4,289,Chi è Haruki Murakami?
1,290,Cosa è 'Persepolis'?
2,290,Chi è Art Spiegelman?
1,291,Chi è Zerocalcare?
2,291,Quale personaggio italiano è protagonista di avventure western?
3,291,Chi ha creato Corto Maltese?
4,291,Quale casa editrice italiana pubblica Dylan Dog e Tex?
5,291,Chi ha creato Diabolik?
1,292,Quale videogioco ha venduto più copie nella storia?
2,292,Quale genere di gioco è caratterizzato dall'esplorazione e dall'accumulo di risorse?
3,292,Quale titolo è considerato il primo videogioco commerciale della storia?
4,292,Cosa è il 'gaming disorder' secondo l'OMS?
1,293,Quale paese ha ottenuto più stelle Michelin nel mondo?
2,293,Cosa è la 'nouvelle cuisine'?
3,293,Cosa è il 'sous vide'?
1,294,Cosa è la 'denominazione di origine controllata e garantita' (DOCG)?
2,294,Come si chiama il processo di trasformazione dello zucchero dell'uva in alcol?
3,294,Cosa è il millesimo di un vino?
4,294,Quale vitigno è usato per produrre il Brunello di Montalcino?
5,294,Cosa è un vino 'tannico'?
1,295,Cosa è il Primitivo di Manduria?
2,295,Quale metodo di produzione usa il Franciacorta?
3,295,Cosa è l'Amarone della Valpolicella?
4,295,Cosa è il Prosecco?
1,296,Qual è la temperatura ideale dell'acqua per estrarre un espresso?
1,297,A quale temperatura si serve generalmente un vino rosso strutturato?
2,297,Cosa analizza la 'degustazione visiva' di un vino?
1,298,In quale anno lo sci alpino fu introdotto ai Giochi Olimpici Invernali?
2,298,Quante discipline comprende il biathlon?
3,298,Quale nazione ha vinto più medaglie d'oro nello sci alpino nella storia dei Giochi Olimpici?
4,298,Cosa è la discesa libera nello sci alpino?
1,299,Cosa è il windsurf?
2,299,Quale sport nautico olimpico si pratica su imbarcazioni a otto con timoniere?
1,300,Chi detiene il record mondiale nei 100 metri maschili?
2,300,Come si misura il lancio del giavellotto?
3,300,Chi è Eliud Kipchoge?
1,301,In quale anno l'Italia vinse il suo quarto Campionato del Mondo?
2,301,Quale squadra di club ha vinto più UEFA Champions League?
3,301,In quale anno si svolse il primo Campionato del Mondo di calcio?
1,302,Cosa è il 'doppio passo' nel basket?
2,302,Cosa è il 'tiro libero' nel basket?
1,303,Chi è la tennista con più titoli del Grande Slam nella storia femminile?
2,303,Quante partite ha una competizione a 5 set in un Grande Slam maschile?
3,303,Cosa è un 'ace' nel tennis?
4,303,Su quale superficie si gioca Wimbledon?
1,304,Cosa è la 'pole position' in Formula 1?
2,304,Cosa è la DRS in Formula 1?
1,305,Da quanti poli è composta la griglia di partenza di un GP di Moto GP?
2,305,Chi è il pilota con più titoli mondiali nella classe regina del motociclismo?
3,305,Cosa è il 'long lap penalty' in Moto GP?
4,305,Su quale moto Valentino Rossi ha vinto la maggior parte dei suoi titoli mondiali?
1,306,Cosa è il 'peloton'?
2,306,Cosa è lo 'strappo' nel ciclismo?
3,306,Quante tappe conta tipicamente il Tour de France?
1,307,Cosa è il 'gambetto' negli scacchi?
2,307,Cosa è lo scacco matto?
3,307,Cosa è la FIDE?
4,307,Cosa è l'Arrocco negli scacchi?
1,308,Cosa è il 'tressette' nel gioco italiano?
2,308,Quante carte ha un mazzo standard?
3,308,Cosa è la 'scala reale' nel poker?
1,309,Cosa è l''all-in' nel poker?
2,309,Cosa è il 'pot' nel poker?
3,309,Cosa è la 'posizione' nel poker?
1,310,Cosa è la 'punta' nella danza classica?
2,310,In quale paese nacque il balletto classico come forma d'arte?
3,310,Chi è Isadora Duncan?
1,311,Chi è Bertolt Brecht?
2,311,Chi scrisse 'Aspettando Godot'?
3,311,Cosa è la 'catarsi' nel teatro greco?
1,312,Chi è il Cirque du Soleil?
2,312,Cosa è il 'clown' nel circo tradizionale?
3,312,Cosa è il giocolaggio?
4,312,Chi è Philippe Petit?
5,312,Cosa è l'acrobatica aerea?
1,313,Quale monumento è considerato il simbolo dell'Acropoli di Atene?
2,313,Quale battaglia del 490 a.C. vide i Greci sconfiggere i Persiani?
3,313,Chi era il principale filosofo accusato di corrompere la gioventù ad Atene?
1,314,Cosa sono gli isomeri?
2,314,Qual è il monomero del polietilene?
3,314,Quale tra questi è un idrocarburo aromatico?
1,315,Qual è l'unità di misura della forza nel SI?
2,315,La resistenza dell'aria è un esempio di forza?
3,315,Quale principio spiega perché un razzo si muove nello spazio?
4,315,Cosa misura la quantità di moto?
1,316,Qual è il titolo del capolavoro di Franz Kafka incentrato sulla metamorfosi?
2,316,Chi vinse il Premio Nobel per la Letteratura nel 1997?
3,316,A quale corrente letteraria appartiene Marcel Proust?
4,316,Chi è l'autore di '1984'?
1,317,Cosa si intende per 'ammortamento' di un debito?
2,317,Il TIR (Tasso Interno di Rendimento) è il tasso che rende il VAN pari a?
3,317,Cosa rappresenta il VAN (Valore Attuale Netto)?
1,318,La membrana plasmatica è composta principalmente da?
2,318,Quale organello cellulare è responsabile della produzione di energia (ATP)?
3,318,Cosa contiene il nucleo cellulare?
1,319,Qual è la capitale della Polonia?
1,320,Quale pianeta del sistema solare è il più grande?
2,320,Quanto tempo impiega la luce del Sole a raggiungere la Terra?
3,320,Quante galassie si stima contenga l'universo osservabile?
1,321,Quali lingue derivano dal Latino volgare?
2,321,Quale lingua neolatina ha il maggior numero di parlanti nel mondo?
1,322,Quale tecnica pittorica era la più comune nell'arte medievale?
2,322,Cosa caratterizza l'architettura gotica?
1,323,A quale movimento cinematografico appartiene la Nouvelle Vague?
2,323,Il Neorealismo italiano nacque principalmente durante?
3,323,Quale film di Ingmar Bergman è ambientato in una lunga notte estiva svedese?
1,324,Qual è il dolce tipico della Campania consumato a Natale?
2,324,In quale regione italiana si produce il Parmigiano Reggiano DOP?
3,324,Quale pesce è protagonista della 'brodetto' marchigiana?
4,324,La 'bagna cauda' è un piatto tipico di quale regione?
5,324,Da cosa è fatto il prosciutto di Parma DOP?
1,325,Quale sistema operativo è sviluppato da Apple per i Mac?
2,325,Quale tra questi è un sistema operativo open source?
3,325,Quale linguaggio di markup viene usato per creare pagine web?
1,326,Cos'è il bicameralismo perfetto vigente in Italia?
2,326,In quanti articoli è composta la Costituzione italiana?
3,326,Cosa sono i diritti inviolabili dell'uomo sanciti dalla Costituzione?
1,327,Quale tipo di costo non varia al variare della produzione?
2,327,Cos'è il cash flow operativo?
3,327,Cosa è il WACC?
1,328,Chi è l'autore del 'Clavicembalo ben temperato'?
2,328,Quale opera di Puccini si svolge in Giappone?
3,328,Cosa è il bel canto?
1,329,Quale concetto filosofico di Platone descrive il mondo delle idee perfette?
2,329,Cosa sosteneva la scuola atomista di Democrito?
3,329,Chi fu il maestro di Platone?
1,330,Quante vertebre ha la colonna vertebrale umana?
2,330,Quale struttura connette muscolo e osso?
3,330,In quale parte del cervello si trovano i centri del linguaggio?
1,331,Cosa è un ecosistema?
2,331,Cosa è la catena alimentare?
3,331,Quale gas è il principale responsabile dell'effetto serra antropogenico?
1,332,Cosa sono i Giochi Paralimpici?
2,332,Quale sport prevede la gara di 'sincronizzato' in piscina?
3,332,In quale città si sono svolte le Olimpiadi estive del 2020 (posticipate al 2021)?
4,332,Quante discipline sportive erano presenti alle Olimpiadi di Parigi 2024?
1,333,Cosa studia la psicologia cognitiva?
2,333,Chi è il fondatore del cognitivismo?
1,334,Cosa misura l'Indice di Gini nel contesto urbano?
2,334,Cosa studia la 'segregazione urbana'?
1,335,Cosa caratterizza l'Umanesimo rinascimentale?
2,335,Chi affrescò la Cappella Sistina?
1,336,Chi è l'autore di 'Il Signore delle mosche'?
2,336,Quale romanzo di Virginia Woolf è scritto in tecnica del 'flusso di coscienza'?
3,336,In quale anno fu pubblicato 'Ulisse' di James Joyce?
1,337,Quante permutazioni esistono di n elementi distinti?
2,337,Quale struttura dati implementa il principio LIFO?
3,337,Cosa è un grafo in matematica discreta?
1,338,Cosa è il DNS?
2,338,Cosa è un indirizzo MAC?
1,339,Cosa è una tabella hash?
2,339,Cosa calcola l'algoritmo di Dijkstra?
3,339,Qual è la complessità temporale della ricerca binaria nel caso peggiore?
4,339,Quale algoritmo di ordinamento ha complessità O(n log n) nel caso medio?
1,340,Cosa è un KPI nel marketing digitale?
2,340,Cosa significa SEO?
3,340,Cosa è il social media marketing?
4,340,Cosa è il 'content marketing'?
5,340,Cosa si intende per 'retargeting'?
1,341,Cosa è il business plan?
2,341,Cosa è il lean management?
1,342,"Quale movimento artistico italiano glorificava la velocità, la macchina e la guerra?"
2,342,Chi è il fondatore della Pop Art americana?
3,342,A quale movimento appartiene Mondrian con i suoi quadri di linee nere e colori primari?
1,343,Cosa è l'entanglement quantistico?
2,343,Cosa è la sovrapposizione quantistica?
1,344,Qual è il simbolo chimico dell'oro?
2,344,Cosa è l'elettronegatività di un elemento?
3,344,Cosa è un legame ionico?
1,345,Cosa sono i cefalopodi?
1,346,Cosa è il punto epicentro di un terremoto?
2,346,Quale vulcano è il più alto d'Europa?
3,346,Quale tipo di roccia si forma dal raffreddamento del magma?
1,347,Cosa è il jet stream?
2,347,Come si chiama il vento caldo e secco che soffia dal Sahara verso il Mediterraneo?
3,347,Cosa è l'effetto Coriolis?
4,347,Quale tipo di nube è associata ai temporali?
5,347,Cosa è l'umidità relativa?
1,348,Come si chiama il fenomeno per cui una parola acquisisce un significato diverso nel tempo?
2,348,Quanti fonemi consonantici ha l'italiano standard?
3,348,Cosa è un morfema?
1,349,Qual è la base del sistema binario?
2,349,Cosa è la crittografia simmetrica?
3,349,Cosa è il Teorema di Fermat nell'aritmetica modulare?
4,349,Cosa è la funzione hash in crittografia?
1,350,Chi è Prometeo nella mitologia greca?
2,350,Quale eroe greco uccise la Medusa?
1,351,Cosa è la Magna Carta?
2,351,Cosa è la Peste Nera?
1,352,Cosa è il Diwali?
2,352,Qual è la scrittura tradizionale del Giappone?
3,352,Quale paese asiatico è noto per la produzione di Kimono?
4,352,Cosa è il Tao nel Taoismo?
1,353,Chi scrisse 'Delitto e Castigo'?
2,353,Chi scrisse 'Il Gabbiano' e 'Il Giardino dei Ciliegi'?
3,353,Quale romanzo di Tolstoj è ambientato durante le guerre napoleoniche?
1,354,Cosa è la globalizzazione economica?
2,354,Cosa è il dumping nel commercio internazionale?
3,354,Quale organizzazione internazionale supervisiona il commercio mondiale?
1,355,A quale ordine appartengono i pipistrelli?
2,355,Cosa è la mimetizzazione negli animali?
3,355,Come si chiama il processo per cui gli animali trascorrono l'inverno in uno stato di torpore?
4,355,Quale animale è il più grande vivente sulla Terra?
1,356,Cosa sono le gimnosperme?
2,356,Cosa è la simbiosi tra funghi e radici delle piante?
3,356,Come si chiama il processo di trasporto dell'acqua dalla radice alle foglie?
1,357,Cosa è un effetto collaterale di un farmaco?
2,357,Cosa è un agonista farmacologico?
1,358,Cosa è il principio di non ingerenza nel diritto internazionale?
2,358,Cosa è la sovranità statale?
1,359,Quale invenzione di Gutenberg (1450 circa) rivoluzionò la diffusione del sapere?
2,359,Chi inventò la macchina a vapore moderna nel XVIII secolo?
3,359,Quando fu inventato il World Wide Web?
1,360,Cosa è l'attuatore in un robot?
2,360,Cosa è un robot industriale?
3,360,Cosa è la cinematica inversa in robotica?
4,360,Chi coniò il termine 'robot' nel 1920?
5,360,Quale sensore viene comunemente usato per permettere ai robot di percepire la profondità?
1,361,Cosa è una rete neurale artificiale?
2,361,Cosa è l'apprendimento automatico (machine learning)?
3,361,Cosa è il deep learning?
1,362,Cosa è il gradient descent?
2,362,Cosa è la normalizzazione dei dati?
3,362,Cosa è l'overfitting?
1,363,Cosa è l'analisi della varianza (ANOVA)?
2,363,Cosa misura la deviazione standard?
3,363,Cosa è la media aritmetica?
4,363,Cosa è il teorema del limite centrale?
1,364,Cosa è l'integrazione per parti?
2,364,Cosa è la lunghezza d'arco di una curva?
3,364,Cosa calcola l'integrale definito di una funzione positiva?
4,364,Cosa è un integrale improprio?
1,365,Cosa è un omeomorfismo in topologia?
2,365,Cosa è uno spazio metrico?
3,365,Cosa è la caratteristica di Eulero di una superficie?
4,365,Cosa studia la teoria dei nodi in topologia?
5,365,"In topologia, cosa si intende per 'spazio compatto'?"
1,366,Cosa è un gioco a somma zero?
2,366,Chi è il fondatore della teoria dei giochi moderna?
3,366,Cosa è il 'dilemma del prigioniero'?
1,367,Chi scrisse la 'Critica della Ragion Pura'?
2,367,Cosa afferma il cogito cartesiano?
3,367,Cosa è l'idealismo tedesco?
